"","portname","code","latitude","longitude","iso3"
"2019","Port Mellon","CAPML",49.52036,-123.48964,"CAN"
"2020","Comox","CACOX",49.67222,-124.92703,"CAN"
"2021","Tahsis","CAPTA",49.91722,-126.66436,"CAN"
"2022","Petersburg","USPBU",56.80681,-132.97501,NA
"2023","Seward","USSEW",60.11771,-149.43953,NA
"2024","Caen","FRCFR",49.19494,-0.32023,"FRA"
"2025","Bogense","DKBGZ",55.56588,10.08103,"DNK"
"2026","Figeholm","SEFIG",57.37278,16.55378,"SWE"
"2027","Girvan","GBGIR",55.24417,-4.86149,"GBR"
"2028","Vardo","NOVAO",70.37313,31.10951,"NOR"
"2029","Korsor","DKKRR",55.33452,11.13504,"DNK"
"2030","Rorvig","DKRRV",55.94531,11.76602,"DNK"
"2031","Corinth","GRCRG",37.94232,22.93194,"GRC"
"2032","Milazzo","ITMLZ",38.22119,15.24005,"ITA"
"2033","La Rochelle","FRLRH",46.14621,-1.16117,"FRA"
"2034","Kalmar","SEKLR",56.65844,16.36622,"SWE"
"2035","Stavanger","NOSVG",58.97166,5.74298,"NOR"
"2036","Toledo","USTOL",41.6886,-83.46406,"USA"
"2037","Wilmington","USILG",39.71675,-75.5223,"USA"
"2038","Marcus Hook","USMAH",39.81,-75.41708,"USA"
"2039","Mtwara","TZMYW",-10.26305,40.18685,"TZA"
"2040","Kashiwazaki","JPAIK",37.36373,138.53494,"JPN"
"2041","Sal Rei","CVSAR",16.17877,-22.92237,"CPV"
"2042","Vasteras","SEVST",59.60346,16.5494,"SWE"
"2043","Kalajoki","FIKJO",64.27914,23.91847,"FIN"
"2044","Holyhead","GBHLY",53.31076,-4.62643,"GBR"
"2045","Pontevedra","ESPEV",42.43558,-8.649,"ESP"
"2046","Paimpol","FRPAI",48.78302,-3.04205,"FRA"
"2047","Rouen","FRURO",49.44773,1.05693,"FRA"
"2048","Poole","GBPOO",50.71878,-1.98638,"GBR"
"2049","Newhaven","GBNHV",50.78729,0.05644,"GBR"
"2050","Portslade","GBPTS",50.83047,-0.21054,"GBR"
"2051","Faversham","GBFAV",51.33578,0.89419,"GBR"
"2052","Felixstowe","GBFXT",51.94831,1.31487,"GBR"
"2053","Deventer","NLDEV",52.24669,6.16969,"NLD"
"2054","New Ross","IENRS",52.38401,-6.95878,"IRL"
"2055","Mostyn","GBCHE",53.3175,-3.26328,"GBR"
"2056","Garston","GBGTN",53.35066,-2.90879,"GBR"
"2057","Bromborough","GBBHK",53.34428,-2.97278,"GBR"
"2058","Pattani","THPAN",6.89974,101.25569,"THA"
"2059","Romblon","PHRLN",12.57774,122.26921,"PHL"
"2060","Sale","MASAL",34.06048,-6.81254,"MAR"
"2061","Sousse","TNSUS",35.82795,10.64496,"TUN"
"2062","Benguela","AOBUG",-12.58638,13.38806,"AGO"
"2063","Pangani","TZPAN",-5.4286,38.9734,NA
"2064","Kantang","THKAN",7.41069,99.50939,"THA"
"2065","Kudamatsu","JPKUD",34.006,131.86034,"JPN"
"2066","Westport","NZWSZ",-41.75437,171.59732,"NZL"
"2067","Mount Maunganui","NZMMU",-37.63451,176.17345,"NZL"
"2068","Maldonado","UYMDO",-34.96573,-54.94364,"URY"
"2069","Namatanai","PGATN",-3.66311,152.4403,"PNG"
"2070","Port Lincoln","AUPLO",-34.74006,135.87533,"AUS"
"2071","Esperance","AUEPR",-33.87047,121.89517,"AUS"
"2072","Sao Sebastiao","BRSSO",-23.79865,-45.39927,"BRA"
"2073","Point Samson","AUPSM",-20.63755,117.19288,"AUS"
"2074","Lucinda","AULUC",-18.53057,146.33061,"AUS"
"2075","Macapa","BRMCP",0.02596,-51.05428,"BRA"
"2076","Male","MVMLE",4.1709,73.50295,NA
"2077","Kota Kinabalu","MYBKI",5.99128,116.07988,"MYS"
"2078","Hondagua","PHHON",13.94495,122.24133,"PHL"
"2079","Mangrol","INMGR",21.10882,70.09887,"IND"
"2080","Puerto Princesa","PHPPS",9.74241,118.72848,"PHL"
"2081","Macau","MOFMM",22.19694,113.55893,"MAC"
"2082","Fuzhou","CNFOC",26.03987,119.3652,"CHN"
"2083","Omaezaki","JPOMZ",34.62215,138.21307,"JPN"
"2084","Kisarazu","JPKZU",35.36819,139.89655,"JPN"
"2085","Otaru","JPOTR",43.18956,141.01511,"JPN"
"2086","Sochi","RUSOC",43.58214,39.72054,"RUS"
"2087","Dunedin","NZDUD",-45.88968,170.50866,NA
"2088","Oamaru","NZOAM",-45.11,170.97987,NA
"2089","Wellington","NZWLG",-41.27851,174.78677,"NZL"
"2090","Warrnambool","AUWMB",-38.40177,142.47553,"AUS"
"2091","Whangarei","NZWRE",-35.75614,174.34856,"NZL"
"2092","Carmelo","UYCAR",-34.00376,-58.28829,"URY"
"2093","Port Alma","AUPTL",-23.58546,150.86111,"AUS"
"2094","Wageningen","SRAGI",5.76322,-56.68704,"SUR"
"2095","Ozamis","PHOZC",8.14078,123.84535,NA
"2096","Belekeri","INBLK",14.71107,74.26327,NA
"2097","Zhangjiagang","CNZJG",31.96409,120.4034,"CHN"
"2098","Samos","GRSMI",37.75633,26.9761,"GRC"
"2099","Lebu","CLLEB",-37.59782,-73.66312,"CHL"
"2100","Aratu","BRARB",-12.79053,-38.47627,"BRA"
"2101","Johor Bahru","MYJHB",1.45978,103.73605,"MYS"
"2102","Kuching","MYKCH",1.55509,110.36798,"MYS"
"2103","Limbang","MYLMN",4.75264,115.00875,"MYS"
"2104","Chichiriviche","VECHV",10.92304,-68.2746,"VEN"
"2105","Tandoc","PHTDC",14.05485,123.29906,NA
"2106","Honavar","INHON",14.27594,74.44106,"IND"
"2107","Calapan","PHCLP",13.42605,121.19532,"PHL"
"2108","Bedi","INBED",22.54896,70.03156,"IND"
"2109","Keelung","TWKEL",25.15541,121.76065,"TWN"
